DatasetIdentifier,Publisher,SourceRepository,YearPublished
snd0440-1,Umeå University,DORIS,1993
snd0306-2,University of Gothenburg,DORIS,1992
2023-275,Swedish University of Agricultural Sciences,DORIS,2023
2023-280,University of Gothenburg,DORIS (only metadata),2024
ecds0144-1,Linnaeus University,DORIS,2021
2024-143,University of Gothenburg,DORIS,2024
2024-214,Uppsala University,DORIS,2018
2023-237,Chalmers University of Technology,DORIS,2024
2023-265,University of Gothenburg,DORIS,2024
snd1011-1,University of Gothenburg,DORIS,2024
2024-199,Mid Sweden University,DORIS,2017
2023-251,University of Gothenburg,DORIS,2024
2023-202,Stockholm University,DORIS,2023
2023-244,Swedish University of Agricultural Sciences,DORIS,2023
2023-235,Umeå University,DORIS,2024
2023-198,Chalmers University of Technology,DORIS,2024
2023-298,University of Gothenburg,DORIS,2025
2023-246,Luleå University of Technology,DORIS,2023
2023-286,Lund University,DORIS,2023
2024-173,Swedish University of Agricultural Sciences,DORIS,2024
2023-289,Karolinska Institutet,DORIS,2023
2023-187,Swedish University of Agricultural Sciences,DORIS (only metadata),2023
2023-270,University of Gävle,DORIS,2023
2023-276,Swedish Geotechnical Institute,DORIS,2024
2023-206,Stockholm University,DORIS,2023
2024-6,Stockholm University,DORIS,2024
2024-4,Stockholm University,DORIS,2024
2023-188,Swedish University of Agricultural Sciences,DORIS,2024
snd2079-1,Uppsala University,DORIS,2024
2022-23-1,Swedish University of Agricultural Sciences,DORIS,2022
2024-488,Umeå University,DORIS,2024
2024-644,Uppsala University,DORIS,2025
2024-639,Swedish University of Agricultural Sciences,DORIS,2025
2025-38,Luleå University of Technology,DORIS,2025
snd1116-1,Swedish University of Agricultural Sciences,DORIS,2025
2024-391,Linköping University,DORIS,2023
2024-284,Linköping University,DORIS,2020
2024-430,Swedish University of Agricultural Sciences,DORIS,2024
2024-258,Royal Institute of Technology,DORIS,2019
snd1260-1,Karolinska Institutet,DORIS,2020
snd1116-1,Swedish University of Agricultural Sciences,DORIS,2019
snd1216-1,Stockholm University,DORIS,2021
snd1117-1,University of Borås,DORIS,2019
snd1118-1,University of Gothenburg,DORIS,2019
snd1120-1,Stockholm University,DORIS,2019
snd1091-1,University of Gothenburg,DORIS,2019
snd1133-1,Swedish University of Agricultural Sciences,DORIS,2019
snd0967-1,University of Gothenburg,DORIS,2014
ext0031-1,Uppsala University,DORIS (only metadata),2015
ext0030-1,Uppsala University,DORIS (only metadata),2015
ext0029-1,Uppsala University,DORIS (only metadata),2015
ext0022-1,Uppsala University,DORIS (only metadata),2015
snd2383-1,Uppsala University,DORIS,2014
snd2376-1,Uppsala University,DORIS,2014
snd2372-1,Uppsala University,DORIS,2014
2024-323,Uppsala University,DORIS,2021
